id;fecha_trending;titulo;canal;categoria;visitas;likes;dislikes
SbOwzAl9ZfQ;14/11/2017;Capítulo 12 | MasterChef 2017;MasterChef 2017;Entertainment;310130;4182;361
klOV6Xh-DnI;14/11/2017;ALEXA EX-INTEGRANTE DEL GRUPO TIMBIRICHE RENUNCIA A ¨La Voz Mexico 7¨TELEVISA 11/11/2017;Micky Contreras Martinez;People & Blogs;104972;271;174
6L2ZF7Qzsbk;14/11/2017;LOUIS CKAGÓ - EL PULSO DE LA REPÚBLICA;El Pulso De La República;News & Politics;136064;10105;266
hcY52MFWMDM;14/11/2017;Sismo de 6.7 sacude Costa Rica 12 Noviembre 2017;Casanare;News & Politics;96153;378;171
_OXDcGPVAa4;14/11/2017;DOG HACKS | MUSAS LESSLIE LOS POLINESIOS;Musas;Howto & Style;499965;57781;681
Q9kK6NWZR1U;14/11/2017;Asi se sintio Terremoto en iraq al bordo de iran 7.6;MÚSICA & ENTRETENIMIENTO;Music;129645;506;67
c9VTD3n_IDs;14/11/2017;La Resolana con el Capi | Programa 12 noviembre  2017;La Resolana;People & Blogs;75197;2277;69
XzULSsZYMRc;14/11/2017;M6.7 Costa Rica Análisis de Terremotos en (((ALERTA SÍSMICA))) con Alex Backman;concienciaradio;News & Politics;142522;7745;659
uijjYNtl_UM;14/11/2017;7 Niños Famosos Que No Supieron Adaptarse a La Fama - Los mejores Top 10;Los mejores Top 10;Entertainment;371110;20155;912
cOJ68MQm2ac;14/11/2017;TOP: Los 7 libros infantiles más perturbadores | Angel David Revilla (Dross);DrossRotzank;Entertainment;1111314;83582;2194
rZZEeeAVgog;14/11/2017;Franco Escamilla.- Tradiciones y Faitelson;Franco Escamilla;Comedy;471516;23279;270
kTT472QeJGg;14/11/2017;Juanpa Zurita ¿Se clavó el dinero de las donaciones? | Viral Team le tira a Dosogas;maurg1;People & Blogs;220315;17070;7718
yhdI98_O-Xc;14/11/2017;Disney Challenge - feat. Luis Angel Gomez / Miguel en Coco/ Memo Aponte;Memo Aponte;People & Blogs;127796;13293;216
7jmJtdqI6YE;14/11/2017;Sismo sacude Costa Rica la noche del 12 de Noviembre de 2017;Harrison;Entertainment;53265;194;41
Dhhp8M5K3UI;14/11/2017;Deleted video;Harrison;Entertainment;53265;194;41
M16Usa8oqDg;14/11/2017;TERREMOTO 7,2 SACUDE IRAK E IRÁN 12.11.17 PRIMERAS IMÁGENES;EnigmAnónimo Mundo de Hoy;News & Politics;66073;399;39
OFXU_vrye9w;14/11/2017;¡Se acabó la espera! El Privilegio de Mandar | Capítulo 01;El Privilegio de Mandar;Comedy;30274;705;199
